id,title,author,cities
68,"The Merry Adventures of Robin Hood","Howard Pyle","7547,420,420,420,420,420,22760"
69,"Home as Found","James Fenimore Cooper","21149,2523"
70,"The Oregon Trail","Francis Parkman, Jr.","22720,22720,22720,22720,22720,22720,1601,22720,22720,22516,22720,22720,20430,1405,22720,22720,22720,22720,22720,22720"
71,"The Great Events by Famous Historians, Volume 5",Various,"21426,1571,7341,7341"
72,"The Black Creek Stopping-House","Nellie McClung","2503,20357"
73,"The Tragedy of Pudd'nhead Wilson","Mark Twain (Samuel Clemens)","23459,20430,20430,20430,20430"
74,"The Congo and Other Poems","Vachel Lindsay","239,22720"
75,"Purple Springs","Nellie L. McClung","21651,2514"
76,"Our Little Alaskan Cousin","Mary F. Nixon-Roulet",239
77,"Bleak House","Charles Dickens","21650,20792,20792,420,21651,21651,21651,420,20792,20792,420,420,8334,420,420,420"
78,"The Wrecker","Robert Louis Stevenson and Lloyd Osbourne","20097,20577,239,21190,239,239,239,239,239,239,228,239,239,239,239,239,239,239,239,239,239,239,239,239,8334,239,239,239,239,8334,8334,239,239,239,239,239,20078,239,239,239,239,239,239,239,239,239,239,239,8334,8334,8334,239,239,239,8334,239,239,239"
79,"The Lone Star Ranger","Zane Grey","1601,1601,1601,1601,2870,22746,22746,1601,1601,22746,22746,22743,1601,1601,2870,2870,22746,22743,1601,2870,1601"
80,"The Night-Born","Jack London","239,20430,239,239,239,20078,22455,22455,22455,1405,22455,22455"
81,"Around the World in 80 Days","Jules Verne","8334,239,2576,8334,239,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,239,8334,8334,8334,8334,8334,239,239,8334,8334,8334,8334,8334,239,8334,8334,8334,239,8334,8334,8334,239,239,239,239,239,239,239,8334,20078,239,239,239,239,239,22888,239,21190,21192,21196,21324,21363,21726,239,239,22808,8334,22888"
82,"Roy Blakeley's Adventures in Camp","Percy Keese Fitzhugh","21969,21969,21969,21820,21969"
83,"The Rover Boys at College","Edward Stratemeyer","21324,21324"
84,Fruitfulness,"Emile Zola",6967
85,"The Works of Charles and Mary Lamb, Volume 2","Charles Lamb","22760,20792,20792"
86,"Domestic Manners of the Americans","Fanny Trollope","20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20321,13372,13372,13372,21732,20000,20430,20430"
87,"The Man Against the Sky","Edwin Arlington Robinson",21921
88,"The Works of Samuel Johnson, Vol. 10.","Samuel Johnson",1405
89,"Travels in Morocco, Vol. 1.","James Richardson","1169,1169,1169,1169,1169,1169,1169"
90,"Travels in Morocco, Vol. 2.","James Richardson","1571,1169,1571,1571,1571,1571,1571,1571"
91,"The Boss of Little Arcady","Harry Leon Wilson","22705,15646"
92,"Aunt Jane's Nieces at Millville","Edith Van Dyne",20681
93,"Joe Wilson and His Mates","Henry Lawson","20528,22827"
94,"Sketches of the East Africa Campaign","Robert Valentine Dolbey","23613,23613"
95,"Freedom's Battle","Mahatma Gandhi","11893,11893"
96,"The Life of John Bunyan","Edmund Venables","19983,20078"
97,"The Middle Temple Murder","J.S. Fletcher","2576,2576,15664"
98,"The Ramblin' Kid","Earl Wayland Bowman","20357,22720,22281,22357,22357,22728,22720,22720,22720"
99,"The Real America in Romance, Volume 6; A Century Too Soon (A Story","John R. Musick","20634,21969,8325,8325,20342,21969,8325,8325,8325,15379,8325,8325,8325,21921,21969,21149,8325,15379,15379,21149,21149,21149,21149,21149,21149,8325,8325,21149,8325,21921"
100,"Missionary Travels and Researches in South Africa","David Livingstone","7644,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,18527,23650,23650,23650,23613,23613,23613,23650,23613,23613"
101,"The Wolf's Long Howl","Stanley Waterloo","21566,21566"
102,"Affairs of State","Burton E. Stevenson","2516,2516,2516,2516"
103,"The Three Taverns","Edwin Arlington Robinson","65,65"
104,"A Man and His Money","Frederic Stewart Isham","239,239,20078,21726,239"
105,"Twixt France and Spain","E. Ernest Bilbrough","239,1571,6965"
106,"The Money Moon","Jeffery Farnol",19983
107,"The Forest Monster of Oz","Bob Evans","20357,20357,20357"
108,"The Life of Lord Byron","John Galt",2516
109,"Miss Lulu Bett","Zona Gale","20430,4045"
110,"Trips to the Moon",Lucian,19983
111,"Thirty Years a Slave","Louis Hughes","20646,20430,2490,20430,20430,20646,20646,22171,2490,20430"
112,"Aunt Jane's Nieces Out West","Edith Van Dyne","22455,4045,22455,22455,22455,22455,22594,239,22455,239,22594,239,22455,21921,22455,22455,4045,22455,22455,239,142,20603,22594,239,22455,239"
113,"A Flock of Girls and Boys","Nora Perry","21921,2576"
114,Wyandotte,"James Fenimore Cooper","1169,1169,1169,1169,1169,22159,22159,22159,22159,1169"
115,"The Atlantic Monthly, Volume 2, Issue 12, October, 1858",Various,"19983,21458,21150,20430,20078,22516"
116,"Pulpit and Press (6th Edition)","Mary Baker Eddy","20357,21958,21921,20430,20430,239,239,21538,20357,22888,20430,21149,21921,21921,21921,21921,22888"
117,"From Yauco to Las Marias","Karl Stephen Herrman","152,152,152,236,152,152,152,152,152,152,152,152,236,236,152,1601,152,236,1601,1601,1601,1601,152,152,236,152,152,152,152,152,152,152,152,20097,152,152,152"
118,"Tutt and Mr. Tutt","Arthur Train","239,21921,8334,21921,21969,20681,20681"
119,"The Green Mouse","Robert W. Chambers","21969,20097,20078"
120,"The Peace Negotiations","Robert Lansing","15135,15135,21531"
121,"American Big Game in Its Haunts",Various,"21921,19986,19986,1601,21740,236,23459,22455,239,23080,22455,21921,21740,3857,22565,5727,15646,15646,5727,5727,22455,22565,21740,21740,21740,21921,21921,15646,21921,21921,21921,21921,21921,21921,21921,21921,239,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,20194,21921,21921,21921,21149,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,22679,21921,21921,22455,21921,21921,21921,21921,21921,21921,22888"
122,"The Green Flag","Arthur Conan Doyle",21458
123,"October Vagabonds","Richard Le Gallienne",21921
124,"The Anti-Slavery Harp",Various,20430
125,"Punch, or the London Charivari, Vol. 153, Aug. 22, 1917",Various,"21634,7784,7784,2576"
126,"Atlantic Monthly, Volume 2, Issue 11, September, 1858",Various,"239,14581,239,239,239,239,239,239,239,20430,11895,21537,21537"
127,"Three short works","Gustave Flaubert",21650
128,"God The Invisible King","Herbert George Wells",23613
129,"Journals of Australian Explorations","A C and F T Gregory","21388,519"
130,"A Child's Anti-Slavery Book",Various,20430
131,"A Select Collection of Old English Plays, Vol. VIII (4th edition)",Various,"7969,556"
132,"Aunt Jane's Nieces in Society","Edith Van Dyne","21708,21708,21708,21708,21708,21708,21708,21708,21708,21708"
133,"The New Machiavelli","Herbert George Wells","21969,21921,2576,2576,21884"
134,"The World's Greatest Books, Vol. I",Various,21628
135,"The Heart of the Range","William Patterson White",239
136,"Beacon Lights of History, Volume II","John Lord",21651
137,"Our Churches and Chapels",Atticus,"20220,20220,20220,20220,20220"
138,"The Ruling Passion","Henry van Dyke","20891,15378,15378,15378,15378,15378"
139,"Beacon Lights of History, Volume III","John Lord","21651,21651,21651"
140,"Experiments in Government and the Essentials of the Constitution","Elihu Root",1601
141,"Vanished Arizona","Martha Summerhayes","239,239,239,239,239,239,239,22720,2868,239,239,239,19983,239,239,239,239,239,239,20078,239,239,22455,4045,4045,239,239,22455,4045,4045,22455,4045,239,15664,2868,239,239,239,239,239,20078,239,239,239,22720,239,22720,22720,22720,22720,22720,4084,236,22720,2870,21919,2870,21919,22720,22720,2870,22720,21919,21919,21919,21919,22455,22455,21458,21458,21458,21921,239,22720,4045,4045,21921,21919"
142,"Henry the Second","Mrs. J. R. Green","6965,7587,6965,6965,6965,6965"
143,"Red Masquerade","Louis Joseph Vance","2576,2576"
144,Persuasion,"Jane Austen",21747
145,"The Sorrows of a Show Girl","Kenneth McGaffey","21312,22460,21795,22460,21845,21694,21795,21845,21694,21820,21845"
146,"Sartor Resartus","Thomas Carlyle",19983
147,"A Rogue by Compulsion","Victor Bridges","2576,7518,2576,2576,2576,23568,2576,20976,15135"
148,"The Compleat Cook","Anonymous, given as 'W. M.'",2519
149,"The Primadonna","F. Marion Crawford","239,5852,239,2576,2576"
150,"Beacon Lights of History, Volume IV","John Lord","21651,21651,21651,21651,21651"
151,"Within the Tides","Joseph Conrad","23508,23508"
152,"Beacon Lights of History, Volume V","John Lord","420,21651,21651,21651,21651"
153,"Beacon Lights of History, Volume VI","John Lord","19983,21651,21651,21651"
154,"Beacon Lights of History, Volume VII","John Lord","21651,21650,21650,2516,2516,21651,21651"
155,"The Double Traitor","E. Phillips Oppenheim","2515,2515,2515"
156,"The Governors","E. Phillips Oppenheim",2576
157,"In the Riding-School; Chats With Esmeralda","Theo. Stephenson Browne",2491
158,"Mother Carey's Chickens","Kate Douglas Wiggin","8334,8334"
159,"A Romance of the Republic","Lydia Maria Francis Child","20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,21458,20430,20430,20430,20430,20430,20430,20430,20430,20430,21458,21458,20430,20430,20430,20430,21993,20430,20430,20430,21919,21919,20430,20430,20430,21919,20430,21919"
160,"Affair in Araby","Talbot Mundy","23613,20321"
161,"Right Ho, Jeeves","P. G. Wodehouse",2490
162,"The Life of Marie Antoinette, Queen of France","Charles Duke Yonge","15135,15135,2516,2516,15135"
163,"The Old Man in the Corner","Baroness Orczy","2576,7518"
164,"Martin Eden","Jack London","14124,239,239,239,239,239,239,239,239,21921,228,239,239,239,239,228,239,22577,239,239,239,22577,239,239,239,239,19986,22577,22577"
165,"The History of England, Volume I","David Hume","2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515"
166,"The Profiteers","E. Phillips Oppenheim",239
167,Holland,"Thomas Colley Grattan","6981,15135,15879,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,21336,21336"
168,"Air Service Boys Over the Atlantic","Charles Amory Beach","21921,21969,21969"
169,"The World Set Free","Herbert George Wells","21651,2576,21336,20184,239"
170,"Punch, or the London Charivari, Vol. 153, Sept. 12, 1917",Various,"21884,2576"
171,"Punch, or the London Charivari, Vol. 153, Sept. 19, 1917",Various,191
172,"A General History and Collection of Voyages and Travels, Vol. 1","Robert Kerr","21147,556,20342"
173,"The Poetical Works of Edmund Spenser, Volume 5","Edmund Spenser",22760
174,"English Literature","William J. Long","20891,20891"
175,"Myths and Myth-Makers","John Fiske",15879
176,"Punch, or the London Charivari, Vol. 153, Sept. 5, 1917",Various,"21280,23650"
177,"An Englishman's Travels in America","John Benwell","20430,20475,20430,20430,20430,20430,20430,20430,20430,20430,20792"
178,"Atlantic Monthly, Volume 2, Issue 10, August, 1858",Various,"22063,21740,21740"
179,"Beacon Lights of History, Volume VIII","John Lord","6981,6981,6981,6981,6981,6981,6981"
180,"The History of the Rise, Progress and Accomplishment of the","Thomas Clarkson","7508,7324,474,21651,20891"
181,"The Uprising of a Great People","Count Agenor de Gasparin","15379,20430,1601,20430,20430,20430,20430,20430,20430"
182,"Beacon Lights of History, Volume IX","John Lord","20267,15879,15879"
183,"Beacon Lights of History, Volume X","John Lord","1601,1601,18445,21969"
184,"Beacon Lights of History, Volume XI","John Lord","21921,21651,21149,15135,20321,21716,20321,21716,21740,21993,20321,20321,20321,21993,20000,21651,20321,20430,20430,20000,23064,23064,20000,20430"
185,"Beacon Lights of History, Volume XII","John Lord","20430,20430,20430,20430,20430,20430,20430,20000,20430,20430,20000,20000,20000,20430,20000,20000,20000,21049,20000,20000,3857,20430,20000,21213,1405,20430,22376,20430,20194"
186,"Beacon Lights of History, Volume XIV","John Lord","21150,8334,21921,239,23650,23650,20976,21921,23613,23613,23568,23613,2490,2490,2490,2490,2490,5263"
187,"Punch, or the London Charivari, Vol. 153, Sept. 26, 1917",Various,7395
188,"Snake and Sword","Percival Christopher Wren","5852,5852,5852"
189,"At Last","Charles Kingsley","1169,13372,22720,1169,13372,19983,5972,19983,5972,22720,21740,5972,5972,5972,5972,5972,5972,5972,5972,5972,5972,5972,152"
190,"Personal Memoirs of U. S. Grant, Volume One","Ulysses S. Grant","21757,21757,1601,1601,20891,20430,1601,20891,20891,20891,2870,20891,1601,20891,20891,2870,1601,20891,2870,20430,20891,20891,2870,20891,2870,20964,2870,20891,1601,20891,2870,20891,20891,22516,1601,20891,2870,1601,20891,1601,20891,20891,22516,1601,1601,20891,1601,20891,22516,20891,1601,1601,20891,20891,20891,20891,1601,20891,1601,1601,1601,1601,1405,1405,1405,236,236,1601,1405,236,1405,1405,1405,1601,1405,1405,1601,1405,1601,1601,1405,1405,1405,1601,2870,1601,1405,1405,2870,2870,2870,2870,2870,1405,1405,1405,2870,2870,2870,2870,1405,1405,20430,22516,20430,1405,239,239,239,22516,239,239,239,239,239,1405,1405,1601,20267,20541,20556,20556,20556,20556,20556,20541,20556,20373,20373,20541,20556,20373,20373,20373,20373,20373,20430,20410,20373,20410,20373,20267,20267,20267,20373,20267,22687,20267,20646,22687,20646,20267,22687,20430,20646,22687,20646,20646,20646,20646,20646,20646,22687,20267,20430,22687,20646,22687,22687,20267,20646,20267,22687,20541,20541,20541,20541,21936,21936,20430,1601,2043"
191,"The Reign of Greed","Jose Rizal","5973,5973,22456,4045,4045,4045,4045,236,4045,15656,4045,4045,22456,15636,22456,15636,15636,236,236,4079,22456,4079,22456,22456,15652,5972,4045,15636,4045,22456,236,15656,4045,4045,4045,1169,1169,236,6112,15636,236,15664"
192,"Biographical Memorials of James Oglethorpe","Thaddeus Mason Harris","239,14578,21006"
193,"Personal Memoirs of U. S. Grant, Volume Two","Ulysses S. Grant","20430,21614,20097,20430,1601,20789,20430,22159,20373,20430,20789,20430,20665,20665,20194,20194,20665,20430,20806,20665,2515,2515,1601,1601,4079,1601,20665,20789,20097,20430,20430,1601,20430,22529,22529,22529,19989,19985,19989,20792,20410,20410,20301,20665,20665,20665,20665,20665,20665,20665,20665,2515,20301,1601,22159,1601,20430,22159"
194,"A History of Freedom of Thought","John Bagnell Bury",20891
195,"The Campfire Girls at Camp Keewaydin","Hildegard G. Frey","239,239"
196,"Atlantic Monthly, Volume 3, Issue 15, January, 1859",Various,"20430,21458,15879"
197,"The Danger Trail","James Oliver Curwood","2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514"
198,"The History of Rome, Book III","Theodor Mommsen",19016
199,"The History of Rome, Book IV","Theodor Mommsen",19983
200,"The History of Rome, Book V","Theodor Mommsen","6994,20430"
201,"Miscellaneous Essays","Thomas de Quincey",6990
202,"Problems of Poverty","John A. Hobson","7969,23568,23568,23568,23568,23568,23568,23568,23568,23568,23568,7969,23568,23568,23568,23568,23568,23568,23568,23568,23568"
203,"White Jacket","Herman Melville","20430,20430,2514,1169,19986"
204,"The Bullitt Mission to Russia","William C. Bullitt",21921
205,"The House of Whispers","William Le Queux","11893,11893,11893,11893,11893,11893,11893,11893,11893"
206,"The Mirror of Literature, Amusement, and Instruction, Vol. 12,",Various,7341
207,"Punch, or the London Charivari, Vol. 153, Oct. 10, 1917",Various,191
208,"A Set of Rogues","Frank Barrett",5956
209,"Jack's Ward","Horatio Alger, Jr.","21726,21969"
210,"Studies in Civics","James T. McCleary","21651,21757,20430,21921,239,21732,21921,19989,1601,20430,20634"
211,"The Story of the Champions of the Round Table","Howard Pyle","2538,2538"
212,"Oregon, Washington and Alaska; Sights and Scenes for the Tourist","E. L. Lomax","21190,21190,20357,20357,21190,20357,20357,20357,21190,21190,21190,20357,20357,20357,239,22455,22455,239,21190,22849,21190,21190,239,239,22849,22849,22849,22849,22849,22849,22849,22849,22849,22849,239,22849,22849,22849,22849,239,239,239,22977,239,20357,239,22177,20078,239,22849,21205,22888,22888"
213,"Open Source Democracy","Douglas Rushkoff","21921,22455"
214,"The Wallet of Kai Lung","Ernest Bramah",22824
215,"The Mirror of Kong Ho","Ernest Bramah","8334,8334"
216,"The Former Philippines thru Foreign Eyes","Tomas de Comyn","20891,15656,6464,22565,1405,4037,4037,22456,22456,22456,4036,4036,4089,4089,1169,22565,22565,1169,1169,22565,22565,1169,1169,1169,22565,5963,22565,4037,4037,4037,139,4037,4037,4037,4037,22565,4037,1169,5972,1405,5973,5973,5973,5973,6464,5973,5973,15664,142,15664,22565,15664,15664,142,15664,15516,15664,15516,1169,1169,1169,1169,14578,1169,1169,22456,22456,22456,22456,22456,22456,4036,22456,21147,15664,22565,22565,15656,15656,22456,4037"
217,"The Scouts of the Valley","Joseph A. Altsheler","20430,20430,21149,20430,20430"
218,"Only an Incident","Grace Denio Litchfield","2576,2576"
219,"The Return of Sherlock Holmes","Arthur Conan Doyle",2576
220,"Coleridge's Literary Remains, Volume 4.","Samuel Taylor Coleridge","2538,21651,21651,21651,22720,7550"
221,"Dead Souls","Nikolai Vasilievich Gogol",21149
222,"The Young Trail Hunters","Samuel Woodworth Cozzens","22746,1601,2870,4045,2870,4045,4045,142,142,2870,142,2870,22746,1601,22746,2870,1601,22746,22746,21458,1160,2870,1601,1601,1601,22746,1601,4045,4045,239,4045"
223,"Legends, Tales and Poems","Gustavo Adolfo Becquer","21921,144,15652,236,236,236,236,236,236,236,236,2867,2867,2867,142,142,18527,4037,142,239,2867,2867,4037,23228,2867,236,2538,4037,21650,142"
224,"The Arrow of Gold","Joseph Conrad","15879,15879"
225,"The History of Insects",Unknown,21149
226,"A Gentleman from Mississippi","Thomas A. Wise","20430,21936,20430,21936"
227,"Hardy Ornamental Flowering Trees and Shrubs","A. D. Webster","239,4045"
228,"My Native Land","James Cox","20430,2490,239,2490,21921,21921,20356,21194,22888,20357,20756,20756,20430,20430,22720,20430,20430,20430,20430,20430,20430,239,20430,20430,239,239,239,239,239,239,19986,20078,239,239,239,239,20078,20078,239,239,239,239,19986,20078,21726,21049,21049,22849,22687,20072,20097,20097,20097,20097,20097,20097,20104,22888,20104"
229,"Paris under the Commune","John Leighton","20184,6987,20577"
230,"The Dolorous Passion of Our Lord Jesus Christ","Anna Catherine Emmerich",20078
231,"At Sunwich Port, Complete","W.W. Jacobs",23508
232,"Rolf In The Woods","Ernest Thompson Seton","20430,22159,20430"
233,"Moon-Face and Other Stories","Jack London","21921,239"
234,"American Scenes, and Christian Slavery","Ebenezer Davies","20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,19989,20430,20410,20430,20430,20410,20430,20430,20430,20430,20430,20430,20430,20430,20430,20341,20430,20430,20430,20430,20430,20430,20430,21740,21149,20321,21149,21149,21149,21149,20321,21149,21149,21149,21149,21149,8325,21149,21149"
235,"Olivia in India","O. Douglas","5852,5852,5852"
236,"Frank Merriwell's Nobility","Burt L. Standish (AKA Gilbert Patten)","21149,21149,21149"
237,"Phantom Fortune, A Novel","M. E. Braddon","2576,2576"
238,"Buried Alive: A Tale of These Days","Arnold Bennett",239
239,"English Poems","Richard Le Gallienne","20517,20517"
240,"Parent and Child Vol. III., Child Study and Training","Mosiah Hall","21921,21921,65,22888"
241,"The Log of a Noncombatant","Horace Green","15135,15135,15135,15135,15135,21149,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135"
242,"A Compilation of the Messages and Papers of the Presidents","James D. Richardson","21921,21740,21740,2018,169,169,20475,21190,22171,20430,20430,20430,20430,20430,20430,20430,20430,20430,1405,20430,20430,20430,20430,20430,20430,1405,20430,20430,20475,21190,12301,21740,8325,21190"
243,"Two Years Ago, Volume I","Charles Kingsley","7969,2576,20430,21572"
244,"The World's Greatest Books, Vol IV.","Editors: Arthur Mee and J.A. Hammerton","20839,7476"
245,"Young Lives","Richard Le Gallienne",7547
246,"The Lands of the Saracen","Bayard Taylor","65,236,5963,22720,65,15664,3857,3857,65,236,4079,236,236,144,236,22720,4037,5963,5963,5963"
247,"Saxe Holm's Stories","Helen Hunt Jackson","22942,22942,22942,22824,239"
248,"The Buccaneer Farmer","Harold Bindloss","3850,1598,3850,1598,1598,1598,1598,1598,20430"
249,"Over the Pass","Frederick Palmer","22455,22746,22888"
250,"Punchinello, Vol. II., No. 39., Saturday, December 24, 1870.",Various,"21921,20347,8334,6965,19983,20078,239,20321,19989"
251,"The Headsman","James Fenimore Cooper","2869,2869,2869,2869"
252,"After Waterloo: Reminiscences of European Travel 1815-1819","Major W. E Frye","1571,12288,1571,1571,11865,11865,11865,11865"
253,"Manners, Custom and Dress During the Middle Ages and During the Renaissance Period","Paul Lacroix","6981,6981,6981,6981,909,6981"
254,"The Claim Jumpers","Stewart Edward White","15646,22455,4045,21521,21521,22856"
255,"Elusive Isabel","Jacques Futrelle","20681,21726,21852,21921"
