id,title,author
96,"The Life of John Bunyan","Edmund Venables"
97,"The Middle Temple Murder","J.S. Fletcher"
98,"The Ramblin' Kid","Earl Wayland Bowman"
99,"The Real America in Romance, Volume 6; A Century Too Soon (A Story","John R. Musick"
100,"Missionary Travels and Researches in South Africa","David Livingstone"
101,"The Wolf's Long Howl","Stanley Waterloo"
102,"Affairs of State","Burton E. Stevenson"
103,"The Three Taverns","Edwin Arlington Robinson"
104,"A Man and His Money","Frederic Stewart Isham"
105,"Twixt France and Spain","E. Ernest Bilbrough"
106,"The Money Moon","Jeffery Farnol"
107,"The Forest Monster of Oz","Bob Evans"
108,"The Life of Lord Byron","John Galt"
109,"Miss Lulu Bett","Zona Gale"
110,"Trips to the Moon",Lucian
111,"Thirty Years a Slave","Louis Hughes"
112,"Aunt Jane's Nieces Out West","Edith Van Dyne"
113,"A Flock of Girls and Boys","Nora Perry"
114,Wyandotte,"James Fenimore Cooper"
115,"The Atlantic Monthly, Volume 2, Issue 12, October, 1858",Various
116,"Pulpit and Press (6th Edition)","Mary Baker Eddy"
117,"From Yauco to Las Marias","Karl Stephen Herrman"
118,"Tutt and Mr. Tutt","Arthur Train"
119,"The Green Mouse","Robert W. Chambers"
120,"The Peace Negotiations","Robert Lansing"
121,"American Big Game in Its Haunts",Various
122,"The Green Flag","Arthur Conan Doyle"
123,"October Vagabonds","Richard Le Gallienne"
124,"The Anti-Slavery Harp",Various
125,"Punch, or the London Charivari, Vol. 153, Aug. 22, 1917",Various
126,"Atlantic Monthly, Volume 2, Issue 11, September, 1858",Various
127,"Three short works","Gustave Flaubert"
128,"God The Invisible King","Herbert George Wells"
129,"Journals of Australian Explorations","A C and F T Gregory"
130,"A Child's Anti-Slavery Book",Various
131,"A Select Collection of Old English Plays, Vol. VIII (4th edition)",Various
132,"Aunt Jane's Nieces in Society","Edith Van Dyne"
133,"The New Machiavelli","Herbert George Wells"
134,"The World's Greatest Books, Vol. I",Various
135,"The Heart of the Range","William Patterson White"
136,"Beacon Lights of History, Volume II","John Lord"
137,"Our Churches and Chapels",Atticus
138,"The Ruling Passion","Henry van Dyke"
139,"Beacon Lights of History, Volume III","John Lord"
140,"Experiments in Government and the Essentials of the Constitution","Elihu Root"
141,"Vanished Arizona","Martha Summerhayes"
142,"Henry the Second","Mrs. J. R. Green"
143,"Red Masquerade","Louis Joseph Vance"
144,Persuasion,"Jane Austen"
145,"The Sorrows of a Show Girl","Kenneth McGaffey"
146,"Sartor Resartus","Thomas Carlyle"
147,"A Rogue by Compulsion","Victor Bridges"
148,"The Compleat Cook","Anonymous, given as 'W. M.'"
149,"The Primadonna","F. Marion Crawford"
150,"Beacon Lights of History, Volume IV","John Lord"
151,"Within the Tides","Joseph Conrad"
152,"Beacon Lights of History, Volume V","John Lord"
153,"Beacon Lights of History, Volume VI","John Lord"
154,"Beacon Lights of History, Volume VII","John Lord"
155,"The Double Traitor","E. Phillips Oppenheim"
156,"The Governors","E. Phillips Oppenheim"
157,"In the Riding-School; Chats With Esmeralda","Theo. Stephenson Browne"
158,"Mother Carey's Chickens","Kate Douglas Wiggin"
159,"A Romance of the Republic","Lydia Maria Francis Child"
160,"Affair in Araby","Talbot Mundy"
161,"Right Ho, Jeeves","P. G. Wodehouse"
162,"The Life of Marie Antoinette, Queen of France","Charles Duke Yonge"
163,"The Old Man in the Corner","Baroness Orczy"
164,"Martin Eden","Jack London"
165,"The History of England, Volume I","David Hume"
166,"The Profiteers","E. Phillips Oppenheim"
167,Holland,"Thomas Colley Grattan"
168,"Air Service Boys Over the Atlantic","Charles Amory Beach"
169,"The World Set Free","Herbert George Wells"
170,"Punch, or the London Charivari, Vol. 153, Sept. 12, 1917",Various
171,"Punch, or the London Charivari, Vol. 153, Sept. 19, 1917",Various
172,"A General History and Collection of Voyages and Travels, Vol. 1","Robert Kerr"
173,"The Poetical Works of Edmund Spenser, Volume 5","Edmund Spenser"
174,"English Literature","William J. Long"
175,"Myths and Myth-Makers","John Fiske"
176,"Punch, or the London Charivari, Vol. 153, Sept. 5, 1917",Various
177,"An Englishman's Travels in America","John Benwell"
178,"Atlantic Monthly, Volume 2, Issue 10, August, 1858",Various
179,"Beacon Lights of History, Volume VIII","John Lord"
180,"The History of the Rise, Progress and Accomplishment of the","Thomas Clarkson"
181,"The Uprising of a Great People","Count Agenor de Gasparin"
182,"Beacon Lights of History, Volume IX","John Lord"
183,"Beacon Lights of History, Volume X","John Lord"
184,"Beacon Lights of History, Volume XI","John Lord"
185,"Beacon Lights of History, Volume XII","John Lord"
186,"Beacon Lights of History, Volume XIV","John Lord"
187,"Punch, or the London Charivari, Vol. 153, Sept. 26, 1917",Various
188,"Snake and Sword","Percival Christopher Wren"
189,"At Last","Charles Kingsley"
190,"Personal Memoirs of U. S. Grant, Volume One","Ulysses S. Grant"
191,"The Reign of Greed","Jose Rizal"
192,"Biographical Memorials of James Oglethorpe","Thaddeus Mason Harris"
193,"Personal Memoirs of U. S. Grant, Volume Two","Ulysses S. Grant"
194,"A History of Freedom of Thought","John Bagnell Bury"
195,"The Campfire Girls at Camp Keewaydin","Hildegard G. Frey"
196,"Atlantic Monthly, Volume 3, Issue 15, January, 1859",Various
197,"The Danger Trail","James Oliver Curwood"
198,"The History of Rome, Book III","Theodor Mommsen"
199,"The History of Rome, Book IV","Theodor Mommsen"
200,"The History of Rome, Book V","Theodor Mommsen"
201,"Miscellaneous Essays","Thomas de Quincey"
202,"Problems of Poverty","John A. Hobson"
203,"White Jacket","Herman Melville"
204,"The Bullitt Mission to Russia","William C. Bullitt"
205,"The House of Whispers","William Le Queux"
206,"The Mirror of Literature, Amusement, and Instruction, Vol. 12,",Various
207,"Punch, or the London Charivari, Vol. 153, Oct. 10, 1917",Various
208,"A Set of Rogues","Frank Barrett"
209,"Jack's Ward","Horatio Alger, Jr."
210,"Studies in Civics","James T. McCleary"
211,"The Story of the Champions of the Round Table","Howard Pyle"
212,"Oregon, Washington and Alaska; Sights and Scenes for the Tourist","E. L. Lomax"
213,"Open Source Democracy","Douglas Rushkoff"
214,"The Wallet of Kai Lung","Ernest Bramah"
215,"The Mirror of Kong Ho","Ernest Bramah"
216,"The Former Philippines thru Foreign Eyes","Tomas de Comyn"
217,"The Scouts of the Valley","Joseph A. Altsheler"
218,"Only an Incident","Grace Denio Litchfield"
219,"The Return of Sherlock Holmes","Arthur Conan Doyle"
220,"Coleridge's Literary Remains, Volume 4.","Samuel Taylor Coleridge"
221,"Dead Souls","Nikolai Vasilievich Gogol"
222,"The Young Trail Hunters","Samuel Woodworth Cozzens"
223,"Legends, Tales and Poems","Gustavo Adolfo Becquer"
224,"The Arrow of Gold","Joseph Conrad"
225,"The History of Insects",Unknown
226,"A Gentleman from Mississippi","Thomas A. Wise"
227,"Hardy Ornamental Flowering Trees and Shrubs","A. D. Webster"
228,"My Native Land","James Cox"
229,"Paris under the Commune","John Leighton"
230,"The Dolorous Passion of Our Lord Jesus Christ","Anna Catherine Emmerich"
231,"At Sunwich Port, Complete","W.W. Jacobs"
232,"Rolf In The Woods","Ernest Thompson Seton"
233,"Moon-Face and Other Stories","Jack London"
234,"American Scenes, and Christian Slavery","Ebenezer Davies"
235,"Olivia in India","O. Douglas"
236,"Frank Merriwell's Nobility","Burt L. Standish (AKA Gilbert Patten)"
237,"Phantom Fortune, A Novel","M. E. Braddon"
238,"Buried Alive: A Tale of These Days","Arnold Bennett"
239,"English Poems","Richard Le Gallienne"
240,"Parent and Child Vol. III., Child Study and Training","Mosiah Hall"
241,"The Log of a Noncombatant","Horace Green"
242,"A Compilation of the Messages and Papers of the Presidents","James D. Richardson"
243,"Two Years Ago, Volume I","Charles Kingsley"
244,"The World's Greatest Books, Vol IV.","Editors: Arthur Mee and J.A. Hammerton"
245,"Young Lives","Richard Le Gallienne"
246,"The Lands of the Saracen","Bayard Taylor"
247,"Saxe Holm's Stories","Helen Hunt Jackson"
248,"The Buccaneer Farmer","Harold Bindloss"
249,"Over the Pass","Frederick Palmer"
250,"Punchinello, Vol. II., No. 39., Saturday, December 24, 1870.",Various
251,"The Headsman","James Fenimore Cooper"
252,"After Waterloo: Reminiscences of European Travel 1815-1819","Major W. E Frye"
253,"Manners, Custom and Dress During the Middle Ages and During the Renaissance Period","Paul Lacroix"
254,"The Claim Jumpers","Stewart Edward White"
255,"Elusive Isabel","Jacques Futrelle"
256,"From a Bench in Our Square","Samuel Hopkins Adams"
257,"Lays of the Scottish Cavaliers and Other Poems","W.E. Aytoun"
258,"Three Frenchmen in Bengal","S.C. Hill"
259,"The Best American Humorous Short Stories",Various
260,"The Light of Western Stars","Zane Grey"
261,"The Mirror of Literature, Amusement, and Instruction",Various
262,"A Compilation of the Messages and Papers of the Presidents, Volume","James D. Richardson"
263,"Punch, or the London Charivari, Vol. 156, Jan. 15, 1919",Various
264,"The Love Affairs of Great Musicians, Volume 1","Rupert Hughes"
265,"An Unwilling Maid","Jeanie Gould Lincoln"
266,"A Century of Negro Migration","Carter G. Woodson"
267,"Mrs. Warren's Profession","George Bernard Shaw"
268,"With the 'Die-Hards' in Siberia","John Ward"
269,"The Late Mrs. Null","Frank Richard Stockton"
270,"A Ride to India across Persia and Baluchistan","Harry De Windt"
271,"Hidden Creek","Katharine Newlin Burt"
272,"The Turmoil","Booth Tarkington"
273,"Lady John Russell",Unknown
274,"Frederick Douglass","Charles Waddell Chesnutt"
275,"The Devil's Admiral","Frederick Ferdinand Moore"
276,"The Riverman","Stewart Edward White"
277,"Selected Speeches on British Foreign Policy 1738-1914","when I see it plagiarized by those who condemn"
278,"Dogs and All About Them","Robert Leighton"
279,"The World's Greatest Books, Volume V.","Arthur Mee and J.A. Hammerton, Eds."
280,"Two Years Ago, Volume II.","Charles Kingsley"
281,"Whig Against Tory",Unknown
282,"The World of Waters","Mrs. David Osborne"
283,"Tess of the d'Urbervilles","Thomas Hardy"
284,"Michelangelo's Shoulder","John Moncure Wetterau"
285,"Joe Burke's Last Stand","John Moncure Wetterau"
286,O+F,"John Moncure Wetterau"
287,"The Book With The Yellow Cover","John Moncure Wetterau"
288,"Antwerp to Gallipoli","Arthur Ruhl"
289,"Labor's Martyrs","Vito Marcantonio"
290,"The Spectator, Volume 2.","Addison and Steele"
291,"The Autobiography of an Ex-Colored Man","James Weldon Johnson"
292,"Letters of a Traveller","William Cullen Bryant"
293,"The Port of Adventure","Charles Norris Williamson and Alice Muriel Williamson"
294,"Samuel F. B. Morse, His Letters and Journals","Samuel F. B. Morse"
295,"Samuel F. B. Morse, His Letters and Journals","Samuel F. B. Morse"
296,"Van Bibber and Others","Richard Harding Davis"
297,"A Compilation of the Messages and Papers of the Presidents","James D. Richardson"
298,"Literary and General Lectures and Essays","Charles Kingsley"
299,"Philippine Folk-Tales","Clara Kern Bayliss, Berton L. Maxfield, W. H. Millington,"
300,"American Hero-Myths","Daniel G. Brinton"
301,"King Richard III","William Shakespeare"
302,"Incidents in the Life of a Slave Girl","Harriet Jacobs (AKA Linda Brent)"
303,"A Compilation of the Messages and Papers of the Presidents","James D. Richardson"
304,"A Woman's Journey Round the World","Ida Pfeiffer"
305,Midnight,"Octavus Roy Cohen"
306,"The Cruise of the Dazzler","Jack London"
307,"The Custom of the Country","Edith Wharton"
308,"Minnie's Sacrifice","Frances Ellen Watkins Harper"
309,"Lord Dolphin","Harriet A. Cheever"
310,"Trial and Triumph","Frances Ellen Watkins Harper"
311,"The Wife of his Youth and Other Stories of the Color Line, and","Charles Waddell Chesnutt"
312,"Atlantic Monthly Volume 6, No. 34, August, 1860",Various
313,"The Dozen from Lakerim","Rupert Hughes"
314,"A Man of Mark","Anthony Hope"
315,"Reform Cookery Book (4th edition)","Mrs. Mill"
316,"Ebooks: Neither E, Nor Books","Cory Doctorow"
317,"Essays in Rebellion","Henry W. Nevinson"
318,"Old Saint Paul's","William Harrison Ainsworth"
319,"Atlantic Monthly, Volume 6, Issue 35, September, 1860",Various
320,"Crabbe, (George)","Alfred Ainger"
321,"The Education Of The Negro Prior To 1861","Carter Godwin Woodson"
322,Poems,"John L. Stoddard"
323,"More Seeds of Knowledge; Or, Another Peep at Charles.","Julia Corner"
324,Freckles,"Gene Stratton-Porter"
325,"History Of Modern Philosophy","Richard Falckenberg"
326,"History of Negro Soldiers in the Spanish-American War, and Other Items of Interest","Edward A. Johnson"
327,"Atlantic Monthly Volume 6, No. 37, November, 1860",Various
328,"The Girl at Cobhurst","Frank Richard Stockton"
329,"Punch, or the London Charivari, Vol. 156, Feb. 12, 1919",Various
330,"A Countess from Canada","Bessie Marchant"
331,"The Mirror of Literature, Amusement, and Instruction, No. 351",Various
332,"Principal Cairns","John Cairns"
333,"Debate On Woman Suffrage In The Senate Of The United States,","Henry W. Blair, J.E. Brown, J.N. Dolph, G.G. Vest, Geo. F. Hoar."
334,"Frank Merriwell at Yale","Burt L. Standish"
335,"The Wonderful Bed","Gertrude Knevels"
336,"Atlantic Monthly Volume 7, No. 40, February, 1861",Various
337,"Atlantic Monthly Volume 7, No. 39, January, 1861",Various
338,"Personal Memoirs Of A Residence Of Thirty Years With The Indian Tribes On The American Frontiers","Henry Rowe Schoolcraft"
339,"Hurrah for New England!","Louisa C. Tuthill"
340,"Choice Specimens of American Literature, And Literary Reader","Benj. N. Martin"
341,"Northumberland Yesterday and To-day","Jean F. Terry"
342,"A Compilation of the Messages and Papers of the Presidents","James D. Richardson"
343,"The Case of Jennie Brice","Mary Roberts Rinehart"
344,"Punch, or the London Charivari, Vol. 156, Jan. 8, 1919",Various
345,"Atlantic Monthly, Volume 7, Issue 41, March, 1861",Various
346,"Monarch, The Big Bear of Tallac","Ernest Thompson Seton"
347,"Twenty-Two Years a Slave, and Forty Years a Freeman","Austin Steward"
348,"Comic History of England","Bill Nye"
349,"Somewhere in France","Richard Harding Davis"
350,"The Expedition of the Donner Party and its Tragic Fate","Eliza Poor Donner Houghton"
351,"Atlantic Monthly, Volume 8, Issue 45, July, 1861",Various
352,"Atlantic Monthly, Volume 7, Issue 42, April, 1861",Various
353,"Buddy And Brighteyes Pigg","Howard R. Garis"
354,"Atlantic Monthly, Vol. 8, No. 46, August, 1861",Various
355,"Atlantic Monthly, Vol. 10, No. 61, November, 1862",Various
356,"Atlantic Monthly, Vol. 10, No. 62, December, 1862",Various
357,"A Cotswold Village","J. Arthur Gibbs"
358,"Mary Wollaston","Henry Kitchell Webster"
359,Potterism,"Rose Macaulay"
360,"Rough and Tumble Engineering","James H. Maggard"
361,"Wild Wings","Margaret Rebecca Piper"
362,"Atlantic Monthly, Vol. 7, No. 43, May, 1861",Various
363,"Abraham Lincoln","John Drinkwater"
364,"Atlantic Monthly, Vol. 5, No. 27, January, 1860",Various
365,"Four Great Americans: Washington, Franklin, Webster, Lincoln","James Baldwin"
366,"Punchinello, Vol. 1, No. 1, Saturday, April 2, 1870",Various
367,"Seeing Europe with Famous Authors, Volume VI",Various
368,"The World's Greatest Books, Vol VI.",Various
369,"Atlantic Monthly, Vol. 4, No. 21, July, 1859",Various
370,Bambi,"Marjorie Benton Cooke"
371,"Christianity and Islam","C.H. Becker"
372,Violists,"Richard McGowan"
373,"The World War and What was Behind It","Louis P. Benezet"
374,"A Compilation of the Messages and Papers of the Presidents","James D. Richardson"
375,"Narrative of a Survey of the Intertropical and Western Coasts of Australia","Phillip Parker King"
376,"A Minstrel In France","Harry Lauder"
377,"Modern India","William Eleroy Curtis"
378,"The Garies and Their Friends","Frank J. Webb"
379,"The Happy Venture","Edith Ballinger Price"
380,"The Visioning","Susan  Glaspell"
381,"The Bent Twig","Dorothy Canfield"
382,"Big Timber","Bertrand W. Sinclair"
383,"Building a State in Apache Land","Charles D. Poston"
384,"Ten Boys from Dickens","Kate Dickinson Sweetser"
385,"The Marrow of Tradition","Charles W. Chesnutt"
386,"The Purple Cloud","M.P. Shiel"
387,"MacMillan's Reading Books",Anonymous
388,"Bartleby, The Scrivener","Herman Melville"
389,"Old Ballads",Various
390,"The Pearl Box","'A Pastor'"
391,"The Apartment Next Door","William Andrew Johnston"
392,"The Life of Michelangelo Buonarroti","John Addington Symonds"
393,"Miles Wallingford","James Fenimore Cooper"
394,"The Exploits Of Brigadier Gerard","Arthur Conan Doyle"
395,"Four Famous American Writers: Washington Irving, Edgar Allan Poe,","Sherwin Cody"
396,"Journeys Through Bookland, Vol. 5","Charles Sylvester"
397,"Famous Reviews","Editor: R. Brimley Johnson"
398,"Slave Narratives: A Folk History of Slavery in the United States","Work Projects Administration"
399,"Little Folks Astray","Sophia May (Rebecca Sophia Clarke)"
400,"The Mirror of Literature, Amusement, and Instruction",Various
401,"Polly and the Princess","Emma C. Dowd"
402,"The Kiltartan History Book","Lady I. A. Gregory"
403,"The Adventures of a Special Correspondent","Jules Verne"
404,"Virgie's Inheritance","Mrs. Georgie Sheldon"
405,"A Practical Illustration of Woman's Right to Labor","Marie E. Zakrzewska"
406,"The Anti-Slavery Examiner, Part 1 of 4","American Anti-Slavery Society"
407,"The Anti-Slavery Examiner, Part 2 of 4","American Anti-Slavery Society"
408,"The Anti-Slavery Examiner, Part 3 of 4","American Anti-Slavery Society"
409,"The Anti-Slavery Examiner, Part 4 of 4","American Anti-Slavery Society"
410,"Civil Government in the United States Considered with","John Fiske"
411,"Egyptian Ideas of the Future Life","E. A. Wallis Budge"
412,"Maggie Miller","Mary J. Holmes"
413,"The Mirror of Literature, Amusement, and Instruction",Various
414,"What is Coming?","H. G. Wells"
415,"Vain Fortune","George Moore"
416,"The Book of Enterprise and Adventure",Anonymous
417,"The Booming of Acre Hill","John Kendrick Bangs"
418,"The Masters of the Peaks","Joseph A. Altsheler"
419,"A School History of the United States","John Bach McMaster"
420,"A Compilation of the Messages and Papers of the Presidents","James D. Richardson"
421,"Atlantic Monthly, Volume 8, No. 47, September, 1861",Various
422,"The Happiest Time of Their Lives","Alice Duer Miller"
423,"The Hunted Woman","James Oliver Curwood"
424,"Lands of the Slave and the Free","Henry A. Murray"
425,"The Mirror of Literature, Amusement, and Instruction",Various
426,"The Mirror of Literature, Amusement, and Instruction",Various
427,"Cowmen and Rustlers","Edward S. Ellis"
428,"The Mirror of Literature, Amusement, and Instruction, Vol. 13,",Various
429,"Scientific American Supplement, No. 415, December 15, 1883",Various
430,"The Mirror of Literature, Amusement, and Instruction",Various
431,"The Mirror of Literature, Amusement, and Instruction.",Various
432,"Germany and the Next War","Friedrich von Bernhardi"
433,"History of Liberia","J.H.T. McPherson"
434,"The Irrational Knot","George Bernard Shaw"
435,"Atlantic Monthly, Volume 8, No. 48, October, 1861",Various
436,"Punch, or the London Charivari, Vol. 156, Feb. 26, 1919",Various
437,"Bayard: The Good Knight Without Fear And Without Reproach","Christopher Hare"
438,"The Fern Lover's Companion","George Henry Tilton"
439,"A History of China","Wolfram Eberhard"
440,"Stories of Inventors","Russell Doubleday"
441,"The Mirror of Literature, Amusement, and Instruction,",Various
442,"The Moorland Cottage","Elizabeth Cleghorn Gaskell"
443,"The Nine-Tenths","James Oppenheim"
444,"Through the Wall","Cleveland Moffett"
445,"Fun And Frolic",Various
446,"Autobiographical Sketches","Annie Besant"
447,"The Mirror Of Literature, Amusement, And Instruction",Various
448,"Round Anvil Rock","Nancy Huston Banks"
449,"The Research Magnificent","H. G. Wells"
450,"Sermons for the Times","Charles Kingsley"
451,"The Mirror of Literature, Amusement, and Instruction",Various
452,"Scientific American Supplement, Vol. XXI., No. 531, March 6, 1886",Various
453,"The Mirror of Literature, Amusement, and Instruction, Vol. 10,",Various
454,"Scientific American Supplement, No. 446, July 19, 1884",Various
455,"The Mirror of Literature, Amusement, and Instruction",Various
456,"The Mirror of Literature, Amusement, and Instruction",Various
457,"Not Pretty, But Precious","John Hay, et al."
458,"Fighting in Flanders","E. Alexander Powell"
459,"Cheerful--By Request","Edna Ferber"
460,"A further contribution to the study of the mortuary customs of the North American Indians","H. C. Yarrow"
461,"The Pirates of Malabar, and An Englishwoman in India Two Hundred Years Ago","John Biddulph"
462,"Mystic Isles of the South Seas.","Frederick O'Brien"
463,"The Sky Line of Spruce","Edison Marshall"
464,"Bell's Cathedrals: The Churches of Coventry","Frederic W.  Woodhouse"
465,"The Red Rover","James Fenimore Cooper"
466,"Wanderings in Wessex","Edric Holmes"
467,"The Mirror of Literature, Amusement, and Instruction, Vol. 10,",Various
468,"The Refugees","Arthur Conan Doyle"
469,"In the Claws of the German Eagle","Albert Rhys Williams"
470,"Atlantic Monthly, Volume 8, Issue 49, November, 1861",Various
471,"A Description of Modern Birmingham","Charles Pye"
472,"The Grafters","Francis Lynde"
473,"The Mirror of Literature, Amusement, and Instruction.",Various
474,"Russell H. Conwell","Agnes Rush Burr"
475,"Slave Narratives: A Folk History of Slavery in the United States","Work Projects Administration"
476,"The Trade Union Woman","Alice Henry"
477,"Punch, or the London Charivari, Vol. 153, Dec. 5, 1917",Various
478,"A Grandmother's Recollections","Ella Rodman"
479,"Character Sketches of Romance, Fiction and the Drama, Vol 1","The Rev. E. Cobham Brewer, LL.D."
480,"The Youth's Coronal","Hannah Flagg Gould"
481,"Stories by American Authors, Volume 1",Various
482,"Stories by American Authors, Volume 5",Various
483,"The Solitary of Juan Fernandez, or The Real Robinson Crusoe","Joseph Xavier Saintine"
484,"An Enquiry into the Obligations of Christians to Use Means for the","William Carey"
485,"Stories by American Authors, Volume 6",Various
486,"A Visit To The United States In 1841","Joseph Sturge"
487,"The Mirror of Literature, Amusement, and Instruction",Various
488,"The Mirror of Literature, Amusement, and Instruction, Vol. 14,",Various
489,"The Mirror of Literature, Amusement, and Instruction",Various
490,"Cuba, Old and New","Albert Gardner Robinson"
491,"Atlantic Monthly, Volume 6, No. 38, December, 1860",Various
492,"Boy Scouts on Motorcycles","G. Harvey Ralphson"
493,"The Life and Letters of Lewis Carroll","Stuart Dodgson Collingwood"
494,"Slave Narratives: A Folk History of Slavery in the United States","Work Projects Administration"
495,"The Poetical Works of John Dryden, Vol I","John Dryden"
496,"Some Historical Account of Guinea, Its Situation, Produce, and the General Disposition of Its Inhabitants","Anthony Benezet"
497,"From London to Land's End","Daniel Defoe"
498,"American Negro Slavery","Ulrich Bonnell Phillips"
499,"The Blotting Book","E. F. Benson"
500,Poetry,"Arthur Thomas Quiller-Couch"
501,"Laughing Bill Hyde and Other Stories","Rex Beach"
502,"Keeping up with Lizzie","Irving Bacheller"
503,"Further Foolishness","Stephen Leacock"
504,"All Things Considered","G. K. Chesterton"
505,"The Old Bell Of Independence; Or, Philadelphia In 1776","Henry C. Watson"
